date;cod_ibge;Executivo;Legislativo;total
2021-04-01;2304608;53,44;2,94;56,38
2018-04-01;2304657;47,42;1,81;49,23
2018-08-01;2304657;52,35;2,07;54,42
2018-12-01;2304657;62,35;1,99;64,34
2019-04-01;2304657;53,25;2,09;55,34
2019-08-01;2304657;52,07;1,94;54,01
2019-12-01;2304657;52,73;2,13;54,86
2020-04-01;2304657;56,58;2,21;58,79
2020-08-01;2304657;70,72;2,78;73,50
2020-12-01;2304657;55,79;2,08;57,87
2021-04-01;2304657;53,76;;
2018-04-01;2304707;50,65;2,45;53,10
2018-08-01;2304707;50,96;2,30;53,26
2018-12-01;2304707;51,32;2,26;53,58
2019-04-01;2304707;48,07;2,19;50,26
2019-08-01;2304707;47,85;2,23;50,08
2019-12-01;2304707;48,61;2,23;50,84
2020-04-01;2304707;50,08;2,26;52,34
2020-08-01;2304707;47,51;2,14;49,65
2020-12-01;2304707;50,50;2,24;52,74
2021-04-01;2304707;48,38;2,10;50,48
2018-04-01;2304806;50,85;3,32;54,17
2018-08-01;2304806;48,42;3,06;51,48
2018-12-01;2304806;53,93;3,23;57,16
2019-04-01;2304806;51,47;3,16;54,63
2019-08-01;2304806;57,98;3,08;61,06
2019-12-01;2304806;56,66;2,90;59,56
2020-04-01;2304806;55,80;2,87;58,67
2020-08-01;2304806;57,54;2,95;60,49
2020-12-01;2304806;53,49;2,91;56,40
2021-04-01;2304806;53,05;2,83;55,88
2019-04-01;2304905;51,05;2,99;54,04
2019-08-01;2304905;52,19;3,13;55,32
2019-12-01;2304905;51,03;2,99;54,02
2021-04-01;2304905;47,95;2,72;50,67
2018-04-01;2304954;69,06;3,21;72,27
2018-08-01;2304954;63,11;3,04;66,15
2018-12-01;2304954;59,40;3,05;62,45
2019-04-01;2304954;57,28;2,92;60,20
2019-08-01;2304954;58,46;2,91;61,37
2019-12-01;2304954;57,33;2,87;60,20
2020-04-01;2304954;56,61;2,91;59,52
2020-08-01;2304954;55,14;2,86;58,00
2020-12-01;2304954;57,95;2,84;60,79
2021-04-01;2304954;63,96;2,75;66,71
2018-04-01;2305001;38,03;1,81;39,84
2018-08-01;2305001;35,60;1,81;37,41
2018-12-01;2305001;45,58;2,37;47,95
2019-04-01;2305001;46,79;2,33;49,12
2019-08-01;2305001;46,65;2,24;48,89
2019-12-01;2305001;46,37;2,14;48,51
2020-04-01;2305001;48,59;2,27;50,86
2020-08-01;2305001;51,38;2,24;53,62
2020-12-01;2305001;52,30;2,09;54,39
2021-04-01;2305001;51,41;1,91;53,32
2018-04-01;2305100;50,57;2,34;52,91
2018-08-01;2305100;66,51;2,94;69,45
2018-12-01;2305100;58,83;2,71;61,54
2019-04-01;2305100;55,59;2,61;58,20
